iter	Passed	Remaining
645	2964	1624
646	2968	1619
647	2972	1614
648	2976	1609
649	2980	1605
650	2984	1600
651	2989	1595
652	2993	1590
653	2997	1586
654	3002	1581
655	3006	1576
656	3010	1571
657	3015	1567
658	3019	1562
659	3023	1557
660	3028	1552
661	3032	1548
662	3036	1543
663	3040	1538
664	3045	1534
665	3049	1529
666	3053	1524
667	3058	1520
668	3062	1515
669	3066	1510
670	3071	1505
671	3075	1501
672	3080	1496
673	3084	1491
674	3088	1487
675	3093	1482
676	3097	1477
677	3101	1472
678	3105	1468
679	3109	1463
680	3114	1458
681	3118	1454
682	3122	1449
683	3127	1444
684	3131	1439
685	3135	1435
686	3139	1430
687	3144	1425
688	3148	1421
689	3152	1416
690	3157	1411
691	3161	1407
692	3165	1402
693	3169	1397
694	3173	1392
695	3178	1388
696	3182	1383
697	3186	1378
698	3191	1374
699	3195	1369
700	3199	1364
701	3203	1359
702	3208	1355
703	3212	1350
704	3216	1346
705	3221	1341
706	3225	1336
707	3230	1332
708	3234	1327
709	3238	1322
710	3243	1318
711	3247	1313
712	3251	1308
713	3255	1304
714	3260	1299
715	3264	1294
716	3268	1290
717	3272	1285
718	3277	1280
719	3281	1276
720	3285	1271
721	3289	1266
722	3294	1262
723	3298	1257
724	3302	1252
725	3306	1247
726	3311	1243
727	3315	1238
728	3319	1234
729	3323	1229
730	3328	1224
731	3332	1220
732	3336	1215
733	3341	1210
734	3345	1206
735	3349	1201
736	3354	1196
737	3359	1192
738	3363	1187
739	3367	1183
740	3372	1178
741	3376	1174
742	3380	1169
743	3384	1164
744	3389	1160
745	3393	1155
746	3397	1150
747	3401	1145
748	3405	1141
749	3410	1136
750	3414	1132
751	3418	1127
752	3423	1122
753	3427	1118
754	3431	1113
755	3436	1109
756	3440	1104
757	3444	1099
758	3449	1095
759	3453	1090
760	3457	1085
761	3461	1081
762	3465	1076
763	3470	1071
764	3474	1067
765	3479	1062
766	3483	1058
767	3487	1053
768	3492	1048
769	3496	1044
770	3500	1039
771	3504	1035
772	3508	1030
773	3513	1025
774	3517	1021
775	3521	1016
776	3525	1011
777	3529	1007
778	3533	1002
779	3537	997
780	3542	993
781	3546	988
782	3550	984
783	3555	979
784	3559	974
785	3563	970
786	3567	965
787	3572	961
788	3576	956
789	3580	951
790	3585	947
791	3589	942
792	3593	938
793	3598	933
794	3602	928
795	3606	924
796	3610	919
797	3614	915
798	3619	910
799	3623	905
800	3627	901
801	3632	896
